Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
1,finished,user,Node.js/NPM,lead,<5 years,Extremely important,Important,Very Important,Not Important,Extremely important,Not Important,Not Important,Very Important,Very Important,Not Important,Very Important,Confident,Medium influence,Highest influence,Medium influence,High influence,High influence,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Not Important,Important,Not Important,Not Important,Extremely important,Extremely important,Not Important,Somewhat Important,Somewhat Important,Not Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a year,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Version range,Version range,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),(mid-low importance),(mid-hi importance),(mid-low importance),8.32,5.75,(mid importance),Great importance,(mid importance)
2,finished,developer,Node.js/NPM,central,5+ years,Very Important,Very Important,Not Important,Important,Extremely important,Somewhat Important,Not Important,Somewhat Important,Somewhat Important,Community opposes this value,Important,Very confident,Low influence,Medium influence,Highest influence,I don't know/Not Applicable,Lowest influence,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,TRUE,in repo,has rev dependencies,default package,Extremely important,Extremely important,Somewhat Important,Extremely important,Extremely important,Extremely important,Not Important,Somewhat Important,I oppose this value,I oppose this value,Important,Less than once a year,Less than once a year,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Yes,Yes,Several times a month,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Version range,Version range,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),(mid importance),Little importance,(mid-low importance),6.8,7.75,Great importance,Great importance,(mid importance)
3,finished,developer,Node.js/NPM,submitter,<5 years,Very Important,Somewhat Important,Extremely important,Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Important,Confident,Low influence,Highest influence,High influence,I don't know/Not Applicable,I don't know/Not Applicable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,TRUE,self-published,has rev dependencies,installable package,Extremely important,Important,Extremely important,Important,Very Important,Very Important,Extremely important,Somewhat Important,Somewhat Important,Important,Somewhat Important,Several times a month,Several times a year,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Yes,No,Several times a week,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Exact version number,Version range,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid importance),(mid-low importance),9.51,Little importance,(mid importance),(mid-low importance),Little importance,4.91,5.65,(mid-hi importance),(mid importance),Great importance
4,finished,developer,Python/PyPi,lead,5+ years,Extremely important,Important,Somewhat Important,Extremely important,Important,Extremely important,Not Important,Important,Somewhat Important,Not Important,Somewhat Important,Slightly confident,Medium influence,High influence,High influence,Highest influence,Medium influence,Neither agree nor disagree,Somewhat agree,I don't know,Neither agree nor disagree,Somewhat agree,I don't know,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Somewhat Important,Important,Somewhat Important,Important,Extremely important,Not Important,Very Important,Very Important,Important,Important,Never,Several times a year,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,I don't know,I don't know,I don't know,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,No,No,Never,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Version range,I don't know,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Coursework,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid importance),Great importance,11.64,Little importance,(mid-low importance),Great importance,(mid importance),7.79,6.2,(mid-hi importance),(mid-hi importance),(mid-hi importance)
5,finished,developer,Ruby/Rubygems,lead,5+ years,Very Important,Somewhat Important,Somewhat Important,Extremely important,Extremely important,Important,Not Important,Somewhat Important,Not Important,Not Important,Not Important,Confident,Low influence,Medium influence,Medium influence,I don't know/Not Applicable,I don't know/Not Applicable,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I don't know,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,I don't know,TRUE,in repo,has rev dependencies,installable package,Extremely important,Important,Extremely important,Extremely important,Somewhat Important,Very Important,Not Important,Important,Very Important,Not Important,Important,Several times a year,Less than once a year,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Several times a day,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Version range,Version range,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,Great importance,(mid-low importance),(mid-hi importance),11.78,(mid-hi importance),(mid-low importance),(mid-hi importance),(mid-hi importance),9.68,6.75,(mid-hi importance),Great importance,(mid importance)
6,finished,user,Node.js/NPM,lead,<5 years,Somewhat Important,Extremely important,Not Important,Very Important,Extremely important,Not Important,Very Important,Very Important,Somewhat Important,Not Important,Very Important,Confident,Low influence,Medium influence,High influence,Low influence,Medium influence,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Important,Not Important,Very Important,Important,Important,Important,Somewhat Important,Very Important,Somewhat Important,Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Exact version number,snapshot,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,<5 years,<5 years,Great importance,(mid-hi importance),Great importance,Great importance,13.76,(mid-hi importance),(mid-hi importance),Great importance,(mid importance),11.14,7.75,Great importance,Great importance,Little importance
7,finished,developer,Node.js/NPM,lead,<5 years,Very Important,Important,Not Important,Not Important,Very Important,Community opposes this value,Somewhat Important,Important,Important,Important,Important,Confident,Lowest influence,Low influence,Highest influence,Lowest influence,High influence,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Not Important,Very Important,Very Important,Very Important,Very Important,Not Important,Very Important,Extremely important,Important,Important,Several times a month,Never,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Yes,No,Less than once a year,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,snapshot,snapshot,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Coursework,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.6,(mid-hi importance),(mid-hi importance),Great importance,(mid importance),11.14,7.2,Great importance,(mid-hi importance),Great importance
8,finished,developer,Haskell (Cabal/Hackage),lead,<5 years,Somewhat Important,Not Important,Extremely important,Extremely important,Somewhat Important,Extremely important,Somewhat Important,Very Important,Important,Extremely important,Extremely important,Confident,High influence,High influence,Highest influence,I don't know/Not Applicable,Low influence,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Not Important,Very Important,Extremely important,Very Important,Extremely important,I oppose this value,Very Important,Somewhat Important,Very Important,Extremely important,Never,Less than once a year,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Yes,Yes,Several times a year,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Version range,Version range,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid-hi importance),Great importance,Great importance,12.98,(mid-hi importance),(mid importance),(mid-hi importance),(mid importance),9.7,6.75,(mid-hi importance),Great importance,Little importance
9,finished,user,Node.js/NPM,lead,<5 years,Extremely important,Somewhat Important,Somewhat Important,Very Important,Extremely important,Extremely important,Extremely important,Important,Not Important,Somewhat Important,Important,Very confident,Medium influence,High influence,Highest influence,Medium influence,Low influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,I don't know,I don't know,Somewhat disagree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Extremely important,Extremely important,Extremely important,Very Important,Important,Important,Very Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Somewhat disagree,I don't know,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Exact version number,I don't know,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,<5 years,5+ years,Great importance,(mid importance),Great importance,Great importance,13.02,Great importance,(mid importance),Great importance,(mid-hi importance),11.77,3.2,Little importance,(mid-hi importance),Great importance
10,finished,developer,Node.js/NPM,lead,5+ years,Important,Important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not Important,Important,Very confident,Medium influence,High influence,Highest influence,Medium influence,Low influence,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,default package,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not Important,Extremely important,Never,Less than once a year,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Skipped,Yes,Yes,Several times a week,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Version range,Version range,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,None,5+ years,5+ years,(mid importance),Little importance,Great importance,Great importance,9.98,Little importance,Little importance,(mid-low importance),Little importance,3.51,7.2,Great importance,(mid-hi importance),Great importance
